u_choice_2,APAS,ASH Debtors,AVD,Abritas (Novalet),Active Directory,Adobe Sign,Agresso Support,Allpay,Altair,Anti-virus,Asset and licensing,AutoCAD / Autocad LT / Autocad Map,Azure,CASPAR,Cirrus/Omni,Citizen Portal,Civica APP,Civica CE,Civica Cx Assets,Civica Pay,Coach Manager,Codeman4,Confirm,ContrOCC,DigiCentral,Document Generator,EHM,EML,Enforcer,Eorders,Experian,Ezytreev,FTP Service,File/Folder,General,HACSYS,HOPE,Hardware,Housing Portal,I@W (Communities),IKEN,Information @ Work,Information Request,JRNI,Key Accident,LAS,LCS,Land Charges,Land Registry,Leaseholder Addons,Linsig,Mail Merge Splitter,MapInfo,Mobile,Modern Gov,NEC DM (Communities),NEC DM (People),NEC DM (Resources),Network,Network Services,Network and Internet Connection,No customer response,NovaPrint,OHMS,Office 365 - Apps,Office 365 - Management,Opus,Other System,PTC Scheduler,Paris,Performance Networks,Power BI Dashboards,PowerApps,Printers,Public Microsites,Qmatics,RPA Service,Renovator,Revs & Bens,Ringo,Rock Time,STAFF PLAN,Server Services,ServiceDeskPlus,ServiceNow Admin Work,Sharepoint,Sign Plot,Software,Street Manager,TASYS,Third party websites,Timesheet Portal,TrboNet,True Compliance,Trust ID Verification solution,USM anywhere Investigations,Whitespace,Windows,Xpress,cms.redbridge.gov.uk,eforms.redbridge.gov.uk,iCasework,iTrent,idp.redbridge.gov.uk,intranet,my.redbridge.gov.uk,redbridgescp.org.uk,www.redbridge.gov.uk 
Chief Executive & Corporate Directors,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0
Communities,0,33,28,34,133,1,7,1,0,0,0,2,2,0,13,0,85,8,0,59,1,49,85,0,1,9,0,0,7,27,11,3,0,6,12,0,87,131,1,0,0,1,237,1,3,1,0,0,7,0,1,4,3,13,0,66,1,5,12,3,53,57,1,224,195,2,13,3,0,0,1,1,4,93,0,0,0,1,33,0,2,0,72,0,0,1,1,31,1,41,1,1,1,2,32,12,20,1,0,1,3,10,81,7,3,66,0,4
Members,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
People,0,15,101,0,403,0,14,0,0,2,2,0,8,19,16,0,0,0,0,0,0,0,0,38,0,0,18,2,0,63,0,0,0,15,36,0,0,399,0,0,0,2,604,3,0,110,173,0,0,0,0,0,0,64,0,0,0,1,37,3,215,134,0,1,704,9,1,3,0,0,0,1,5,282,0,0,0,0,2,0,0,3,114,0,4,1,0,55,0,0,1,0,0,0,0,43,0,8,0,0,26,0,187,5,5,21,1,4
RCS (Redbridge Civic Services),0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Regeneration and Culture,114,0,2,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,26,0,4,0,4,53,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,5,1,20,7,0,0,60,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,14,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,1
Resources,0,630,54,2,71,1,204,0,1,7,0,0,5,1,36,0,1,0,4,62,0,1,10,7,0,13,0,0,0,24,0,0,3,10,8,0,3,83,0,0,5,2,124,7,1,1,1,0,0,4,0,6,0,3,2,14,0,116,1,4,24,26,0,281,220,2,3,10,16,1,0,0,8,36,1,0,0,0,43,1,0,1,70,1,4,1,0,45,0,6,0,0,0,1,3,12,2,4,1,0,27,1,53,1,3,4,0,1
Strategy,0,2,11,1,84,1,31,0,6,0,1,0,2,0,66,0,5,1,2,10,0,0,24,2,0,0,0,0,0,5,0,0,0,3,6,1,17,70,0,0,8,0,88,2,0,0,1,0,0,0,0,0,0,3,1,2,0,18,6,2,17,22,0,6,159,2,0,1,26,0,0,0,8,36,1,1,1,0,2,0,0,0,33,3,1,1,0,20,0,0,0,0,0,0,1,10,0,1,3,1,3,7,81,1,4,6,0,5
Vision RCL,0,0,4,0,41,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,1,0,0,32,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,23,16,0,0,51,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,10,0,1,1,0,13,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0
